id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
1049,tt0268711,2023-01-13,2023-01-13,,Tuno negro,https://www.imdb.com/title/tt0268711/,movie,4.4,110,2001,"Drama, Horror, Mystery, Thriller",1145,2001-07-20,"Pedro L. Barbero, Vicente J. Martín"
1050,tt8041270,2023-01-14,2023-01-14,,Jurassic World: Dominion,https://www.imdb.com/title/tt8041270/,movie,5.6,147,2022,"Action, Adventure, Sci-Fi, Thriller",176941,2022-05-23,Colin Trevorrow
1051,tt14465706,2023-01-15,2023-01-15,,Balle perdue 2,https://www.imdb.com/title/tt14465706/,movie,6.3,98,2022,"Action, Crime, Thriller",3672,2022-10-26,Guillaume Pierret
1052,tt1745960,2023-01-15,2023-01-15,,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/,movie,8.3,130,2022,"Action, Drama",550928,2022-05-18,Joseph Kosinski
1053,tt11378876,2023-01-16,2023-01-16,,The Blazing World,https://www.imdb.com/title/tt11378876/,movie,4.4,101,2021,"Horror, Thriller",627,2021-01-31,Carlson Young
1054,tt22494386,2023-01-16,2023-01-16,,Evil Tapes,https://www.imdb.com/title/tt22494386/,movie,3.6,74,2022,Horror,41,2022-10-07,Alexander Henderson
1055,tt0105719,2023-01-22,2023-01-22,,The Vagrant,https://www.imdb.com/title/tt0105719/,movie,5.8,91,1992,"Comedy, Horror, Thriller",1798,1992-05-15,Chris Walas
1056,tt15676664,2023-02-04,2023-02-04,,Venus,https://www.imdb.com/title/tt15676664/,movie,5.5,100,2022,Horror,1920,2022-09-14,Jaume Balagueró
1057,tt12593682,2023-03-03,2023-03-03,,Bullet Train,https://www.imdb.com/title/tt12593682/,movie,7.3,127,2022,"Action, Comedy, Thriller",321494,2022-07-18,David Leitch
1058,tt4537888,2023-03-06,2023-03-06,,The Monster Project,https://www.imdb.com/title/tt4537888/,movie,4.5,99,2017,"Action, Comedy, Fantasy, Horror, Sci-Fi, Thriller",3276,2017-07-14,Victor Mathieu
1059,tt0078474,2023-03-13,2023-03-13,,Warlords of Atlantis,https://www.imdb.com/title/tt0078474/,movie,5.5,96,1978,"Adventure, Fantasy, Sci-Fi",2484,1978-05-05,Kevin Connor
