,id,const,created,modified,description,title,url,title_type,imdb_rating,runtime,year,genres,num_votes,release_date,directors
930,931,tt9844522,2022-03-31,2022-03-31,"Six people unwillingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive. Joining forces with two of the original survivors, they soon discover they&apos;ve all played the g...",Escape Room: Tournament of Champions,https://www.imdb.com/title/tt9844522/,movie,5.7,88.0,2021,"Action, Adventure, Horror, Mystery, Sci-Fi, Thriller",48551,2021-07-01,Adam Robitel
931,932,tt8368408,2022-04-03,2022-04-03,Three generations of women fight back against those who could take everything from them.,Gunpowder Milkshake,https://www.imdb.com/title/tt8368408/,movie,6.0,114.0,2021,"Action, Crime, Thriller",46807,2021-07-14,Navot Papushado
932,933,tt2537176,2022-04-07,2022-04-07,"When Katie innocently accepts an offer to have new photos taken for her portfolio, the experience quickly turns into a nightmare of rape, torture and kidnapping. Now, she will have to find the strength to exact her brutal revenge.",I Spit on Your Grave 2,https://www.imdb.com/title/tt2537176/,movie,5.7,106.0,2013,"Horror, Thriller",30797,2013-08-25,Steven R. Monroe
933,934,tt4530884,2022-04-07,2022-04-07,"Jennifer is still haunted by the memory of being gang raped and almost killed years ago. At her therapist&apos;s advice, she joins group therapy and meets similar women. She befriends one and they want more than just talk - justice/ven...",I Spit on Your Grave 3: Vengeance Is Mine,https://www.imdb.com/title/tt4530884/,movie,5.1,92.0,2015,"Horror, Thriller",14281,2015-10-01,R.D. Braunstein
934,935,tt6246322,2022-04-15,2022-04-15,"The sequel is set in the years following the initial deadly home invasion, where Norman Nordstrom lives in quiet solace until his past sins catch up to him.",Don't Breathe 2,https://www.imdb.com/title/tt6246322/,movie,6.0,98.0,2021,"Action, Crime, Horror, Thriller",60961,2021-08-12,Rodo Sayagues
935,936,tt11514780,2022-04-15,2022-04-15,"After firing up a lost 1980s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences.",Choose or Die,https://www.imdb.com/title/tt11514780/,movie,4.8,84.0,2022,"Drama, Horror, Thriller",22789,2022-04-15,Toby Meakins
936,937,tt13610562,2022-04-17,2022-04-17,A group of actors and actresses stuck inside a pandemic bubble at a hotel attempt to complete a film.,The Bubble,https://www.imdb.com/title/tt13610562/,movie,4.7,126.0,2022,Comedy,25777,2022-03-25,Judd Apatow
937,938,tt8165192,2022-04-19,2022-04-19,"Cheung Sung-bong is an officer of the Regional Crime Unit who worked in the front line for many years. His protege, Yau Kong-ngo, respects and looks up to him. However, fate conspires to pit them against each other.",Nou fo,https://www.imdb.com/title/tt8165192/,movie,6.5,126.0,2021,"Action, Adventure, Crime, Mystery, Thriller",5147,2021-07-28,Benny Chan
938,939,tt12663250,2022-04-21,2022-04-21,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.",Yacha,https://www.imdb.com/title/tt12663250/,movie,6.2,125.0,2022,"Action, Crime, Thriller",3945,2022-04-08,Hyeon Na
939,940,tt11242218,2022-04-30,2022-04-30,A journey into uncharted and forbidden territory through three tales tangled in space and time.,Books of Blood,https://www.imdb.com/title/tt11242218/,movie,5.6,107.0,2020,"Drama, Horror, Mystery, Sci-Fi",8366,2020-10-07,Brannon Braga
940,941,tt7097896,2022-04-30,2022-04-30,"Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.",Venom: Let There Be Carnage,https://www.imdb.com/title/tt7097896/,movie,5.9,97.0,2021,"Action, Sci-Fi, Thriller",232385,2021-09-14,Andy Serkis
941,942,tt0095271,2022-04-30,2022-04-30,"Ten years after his original massacre, the invalid Michael Myers awakens on Halloween Eve and returns to Haddonfield to kill his seven-year-old niece. Can Dr. Loomis stop him?",Halloween 4: The Return of Michael Myers,https://www.imdb.com/title/tt0095271/,movie,5.8,88.0,1988,"Horror, Thriller",55138,1988-10-21,Dwight H. Little
942,943,tt2382320,2022-05-02,2022-05-02,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",No Time to Die,https://www.imdb.com/title/tt2382320/,movie,7.3,163.0,2021,"Action, Adventure, Thriller",412356,2021-09-28,Cary Joji Fukunaga
943,944,tt0094850,2022-05-02,2022-05-02,A comic book artist Whitney Taylor is doomed to repeat history in a most grotesque way when she unleashes a demon after drawing it..,Cellar Dweller,https://www.imdb.com/title/tt0094850/,movie,5.0,77.0,1987,"Fantasy, Horror",2594,1987-10-27,John Carl Buechler
944,945,tt7587604,2022-05-04,2022-05-04,"This movie is adapted from a video game of the same title. The story is set in the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise.",Zhen · San guo wu shuang,https://www.imdb.com/title/tt7587604/,movie,4.7,119.0,2021,"Action, Adventure, Fantasy",2327,2021-04-29,Roy Hin Yeung Chow
945,946,tt10665338,2022-05-06,2022-05-06,Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror.,Halloween Kills,https://www.imdb.com/title/tt10665338/,movie,5.5,105.0,2021,"Horror, Thriller",89285,2021-09-08,David Gordon Green
946,947,tt0220506,2022-05-06,2022-05-06,"Three years after he last terrorized his sister, Michael Myers confronts her again, before traveling to Haddonfield to deal with the cast and crew of a reality show which is being broadcast from his old home.",Halloween: Resurrection,https://www.imdb.com/title/tt0220506/,movie,3.9,90.0,2002,"Horror, Thriller",46413,2002-07-01,Rick Rosenthal
947,948,tt11253526,2022-05-07,2022-05-07,Petersburg at the end of the 19th century was embraced by a massive enthusiasm for the occult sciences and esotericism. British medium Olivia Reed arrives in the capital of the Russian Empire on tour and gathers crowds of people a...,Devyataya,https://www.imdb.com/title/tt11253526/,movie,5.4,99.0,2019,"Adventure, Crime, Horror, Mystery",1100,2019-11-07,Nikolay Khomeriki
948,949,tt14858054,2022-05-08,2022-05-08,"In a zombie-infested Australian wasteland, soldier Rhys has dedicated his life to tracking and capturing survivors for the Surgeon General in hopes of finding a cure.",Wyrmwood: Apocalypse,https://www.imdb.com/title/tt14858054/,movie,5.4,88.0,2021,"Action, Horror",2735,2021-10-08,Kiah Roache-Turner
949,950,tt5433138,2022-05-15,2022-05-15,Dom and the crew must take on an international terrorist who turns out to be Dom and Mia&apos;s estranged brother.,F9,https://www.imdb.com/title/tt5433138/,movie,5.2,143.0,2021,"Action, Crime, Thriller",138546,2021-05-19,Justin Lin
950,951,tt5034838,2022-05-18,2022-05-18,The epic next chapter in the cinematic Monsterverse pits two of the greatest icons in motion picture history against each other--the fearsome Godzilla and the mighty Kong--with humanity caught in the balance.,Godzilla vs. Kong,https://www.imdb.com/title/tt5034838/,movie,6.3,113.0,2021,"Action, Sci-Fi, Thriller",215837,2021-03-24,Adam Wingard
951,952,tt0113253,2022-05-19,2022-05-19,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.",Halloween: The Curse of Michael Myers,https://www.imdb.com/title/tt0113253/,movie,4.7,87.0,1995,"Horror, Thriller",39266,1995-09-29,Joe Chappelle
952,953,tt11235772,2022-05-29,2022-05-29,"Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster.",The Voyeurs,https://www.imdb.com/title/tt11235772/,movie,6.0,116.0,2021,"Drama, Mystery, Thriller",24302,2021-09-10,Michael Mohan
953,954,tt13774454,2022-06-19,2022-06-19,"A struggling actor who seems doomed to lead the life of a loser. When finally gets a lead role as a superhero named &quot;Badman,&quot; he feels like everything is possible but fate strikes again.",Super-héros malgré lui,https://www.imdb.com/title/tt13774454/,movie,6.1,82.0,2021,"Action, Comedy",2518,2021-11-14,Philippe Lacheau
954,955,tt0075393,2022-06-22,2022-06-22,"After oil is found in a small town and local factory shut down, violent crime skyrockets. A young man has had enough and calls in his older brother, a cynical Vietnam vet, who cleans the streets but then tries to take over the town.",Vigilante Force,https://www.imdb.com/title/tt0075393/,movie,5.2,89.0,1976,"Action, Adventure, Crime, Drama, Thriller",1003,1976-09-09,George Armitage
